username,user_id,access_token,sync_token
user.000000,@user.000000:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMDA_xIVyGcovgXQrOBfAWApZ_0dtYOF,s7309_129_0_1_1_1_1_1001_0_1
user.000001,@user.000001:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMDE_ILQnZyzQkIKkRlHQMLwp_0xuwR8,s7324_134_0_1_1_1_1_1001_0_1
user.000002,@user.000002:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMDI_fTybzbBvMRJpduiTSnPJ_0slwaj,s7346_148_0_1_1_1_1_1001_0_1
user.000003,@user.000003:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMDM_ZQrDBZXdUfyiTSmBUZpV_0gqWov,s7359_149_0_1_1_1_1_1001_0_1
user.000004,@user.000004:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMDQ_dzhMkPfCluxoocrQxvTx_2fkDzf,s7421_173_0_1_1_1_1_1001_0_1
user.000005,@user.000005:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMDU_OESydijzhdXvDLRGFzXz_3bBpdZ,s7452_187_0_1_1_1_1_1001_0_1
user.000006,@user.000006:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMDY_hlbUDmiiOiLWXrrupOWd_28BlQO,s7497_208_0_1_1_1_1_1001_0_1
user.000007,@user.000007:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMDc_qyrepPNNpMfmprTVlVHX_3KwGSu,s7534_226_0_1_1_1_1_1001_0_1
user.000008,@user.000008:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMDg_GlRXtMkhzRexAADjCnTb_1sm0gz,s7555_241_0_1_1_1_1_1001_0_1
user.000009,@user.000009:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMDk_ZHNeYjxlNYphMJcjcjkA_2uqZnQ,s7607_255_0_1_1_1_1_1001_0_1
user.000010,@user.000010:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMTA_pxOGygIYbvYMDEWgtHgl_3go7vw,s7654_527_0_1_1_1_1_1001_0_1
user.000011,@user.000011:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMTE_bFJRuFnEzovBvFonvPMz_2Ti1pa,s7680_539_0_1_1_1_1_1001_0_1
user.000012,@user.000012:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMTI_ssJvqDLZBImJREpcFtpI_0zLYJK,s7722_551_0_1_1_1_1_1001_0_1
user.000013,@user.000013:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMTM_oXSLzuMFmhgSTnZkJhDC_10aHw8,s7803_579_0_1_1_1_1_1001_0_1
user.000014,@user.000014:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMTQ_ALYfmejwvOgVzoWcmPSk_3xxgOI,s7854_610_0_1_1_1_1_1001_0_1
user.000015,@user.000015:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMTU_pEVEApGsYreTQUIPttGe_172nPa,s7927_643_0_1_1_1_1_1001_0_1
user.000016,@user.000016:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMTY_rpbMTIvhntuNydHlugrs_0jfWca,s8002_670_0_1_1_1_1_1001_0_1
user.000017,@user.000017:lapisco.ifce.edu.br,syt_dXNlci4wMDAwMTc_njGyyDokRnmtsddmvuPA_3is4BE,s8030_679_0_1_1_1_1_1001_0_1
